G7331,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
9,黔西,G2831,18:39,18:41,4:02,当日到达,2分钟,
10,清镇西,G2831,18:55,18:57,4:18,当日到达,2分钟,
11,贵阳北,G2831,19:17,19:24,4:40,当日到达,7分钟,
12,平坝南,G2831,19:43,19:45,5:06,当日到达,2分钟,
13,安顺西,G2831,20:00,20:03,5:23,当日到达,3分钟,
14,曲靖北,G2831,21:20,21:23,6:43,当日到达,3分钟,
15,昆明南,G2831,22:00,22:00,7:23,当日到达,0分钟,
,,,,,,,,
G1501,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1501,----,10:03,0:00,当日到达,0分钟,
2,嘉兴南,G1501,10:31,10:33,0:28,当日到达,2分钟,
3,杭州东,G1501,10:56,11:01,0:53,当日到达,5分钟,
4,诸暨,G1501,11:25,11:28,1:22,当日到达,3分钟,
5,金华,G1501,11:54,11:56,1:51,当日到达,2分钟,
6,上饶,G1501,12:45,12:47,2:42,当日到达,2分钟,
7,南昌西,G1501,13:43,13:51,3:40,当日到达,8分钟,
8,高安,G1501,14:06,14:08,4:03,当日到达,2分钟,
9,萍乡北,G1501,14:53,14:55,4:50,当日到达,2分钟,
10,长沙南,G1501,15:25,15:35,5:22,当日到达,10分钟,
11,衡阳东,G1501,16:12,16:14,6:09,当日到达,2分钟,
12,祁东,G1501,16:43,16:45,6:40,当日到达,2分钟,
13,祁阳,G1501,16:59,17:01,6:56,当日到达,2分钟,
14,永州,G1501,17:17,17:21,7:14,当日到达,4分钟,
15,东安东,G1501,17:36,17:38,7:33,当日到达,2分钟,
16,全州南,G1501,18:02,18:04,7:59,当日到达,2分钟,
17,桂林北,G1501,18:47,18:51,8:44,当日到达,4分钟,
18,永福南,G1501,19:19,19:21,9:16,当日到达,2分钟,
19,柳州,G1501,20:07,20:10,10:04,当日到达,3分钟,
20,来宾北,G1501,20:35,20:37,10:32,当日到达,2分钟,
21,南宁东,G1501,21:19,21:19,11:16,当日到达,0分钟,
